frequency,Rmax,R_ratio,time
8.571428571428571,0.23787011066312805,0.7564944244461256,21:38:31
6.666666666666667,0.24720758907653176,0.9607165774537186,21:38:33
7.5,0.2867083408760722,0.9374167202842493,21:38:35
8.571428571428571,0.3505467081038586,0.7566425031094411,21:38:37
15.0,0.19058121911396053,0.887048998175831,21:38:39
15.0,0.31246549725571443,0.6661109831902934,21:38:41
20.0,0.25633584019170147,0.781372614986277,21:38:43
20.0,0.2550464887260888,0.9653815620572104,21:38:45
6.0,0.25181383081900743,0.9489030451950908,21:38:47
8.571428571428571,0.22290646613942747,0.9967407430334212,21:38:49
6.0,0.25766227988958307,0.8676672508664292,21:38:51
15.0,0.26852217943139245,0.9823378959347512,21:38:53
8.571428571428571,0.2897297943805673,0.8588376295137586,21:38:55
12.0,0.23014829132233022,0.9650689451787868,21:38:57
10.0,0.32025442506023816,0.7937542579977439,21:38:59
7.5,0.2648488561972015,0.8964635549494568,21:39:01
15.0,0.28211039431702045,0.8081737709629196,21:39:03
7.5,0.3046558437650899,0.9267401455222043,21:39:05
6.666666666666667,0.2728002121465898,0.747241320589426,21:39:07
7.5,0.32042305390102827,0.7529680378578635,21:39:09
6.0,0.3434969945091787,0.971821082253516,21:39:11
20.0,0.2684616452832618,0.9671572663389725,21:39:13
30.0,0.2512770087683005,0.8441568483213117,21:39:15
8.571428571428571,0.23104628563306182,0.8465731794524661,21:39:17
7.5,0.2990564824335972,0.806453812638964,21:39:19
10.0,0.23354208511929467,0.8855347244575127,21:39:21
7.5,0.24914805032610357,0.9918080575439968,21:39:23
7.5,0.33223766253626247,0.8882429693245422,21:39:25
7.5,0.2784050431916493,0.7616535314154385,21:39:27
8.571428571428571,0.2627602320429679,0.9858755307490336,21:39:29
12.0,0.28248283542065566,0.9069423365266531,21:39:31
20.0,0.34715209008509545,0.6547321025141597,21:39:33
7.5,0.2952414335644102,0.7752497125566289,21:39:35
12.0,0.34648604520846493,0.8500750010374549,21:39:37
6.666666666666667,0.384479796534398,0.73615105626422,21:39:39
12.0,0.2680378585427969,0.8999485980164589,21:39:41
20.0,0.30210667495630966,0.9373140515097587,21:39:43
7.5,0.23595255853083813,0.9955200307255287,21:39:45
20.0,0.26763217907339515,0.8508918096814455,21:39:47
8.571428571428571,0.3634724453970968,0.6776010662268559,21:39:49
8.571428571428571,0.5406382433329832,0.42565997099703606,21:39:51
8.571428571428571,0.5458494625677314,0.44229401483296044,21:39:53
8.571428571428571,0.39777340577790804,0.564425150192511,21:39:55
8.571428571428571,0.37186389454890273,0.6908436162223174,21:39:57
8.571428571428571,0.45445622600067886,0.6686401110650695,21:39:59
12.0,0.250430685508583,0.7085661785503394,21:40:01
12.0,0.2929663506022664,0.8678807144571864,21:40:03
12.0,0.26102924449475573,0.81373832074033,21:40:05
12.0,0.29801345141004765,0.9044858024535269,21:40:07
10.0,0.34117321838024367,0.7356827526565003,21:40:09
10.0,0.445957526863089,0.7553940793771934,21:40:11
20.0,0.30845890121405756,0.7564838285989801,21:40:13
6.0,0.29186315166251775,0.8595596252260027,21:40:15
8.571428571428571,0.26314226435298355,0.8705303010880727,21:40:17
7.5,0.24658794682862142,0.9987256872824102,21:40:19
12.0,0.2658074487065615,0.9473673569656895,21:40:21
15.0,0.2822458632105904,0.8358850705719546,21:40:24
30.0,0.316476439235849,0.8460752869698401,21:40:26
10.0,0.308800005746035,0.7506142189894977,21:40:28
20.0,0.31492487525671686,0.9812802253555968,21:40:30
20.0,0.288155097899337,0.9681086971006517,21:40:32
20.0,0.30364190571767563,0.9829531832101012,21:40:34
15.0,0.3130071222062843,0.8085031793960217,21:40:36
8.571428571428571,0.22496196099534543,0.9944806573801832,21:40:38
10.0,0.26518573695933945,0.8243301145804901,21:40:40
20.0,0.2335764163884165,0.8986901932117831,21:40:42
15.0,0.2872249906110461,0.8693420815182901,21:40:44
8.571428571428571,0.28975627768936885,0.9480123737960982,21:40:46
30.0,0.33797140849824914,0.9295351235226738,21:40:48
7.5,0.3337819570180321,0.9201570421358182,21:40:50
20.0,0.23212255122899014,0.9710449292276591,21:40:52
12.0,0.34227556565995226,0.8996621604820145,21:40:54
10.0,0.4548518636633542,0.7541236257943226,21:40:56
10.0,0.3968005575013912,0.7175681723260824,21:40:58
10.0,0.4264532373558792,0.5252215047005354,21:41:00
30.0,0.2849335846100655,0.8969479019187598,21:41:02
8.571428571428571,0.32774229691385226,0.9628853057440455,21:41:04
6.0,0.3508419647798586,0.8886744837492105,21:41:06
15.0,0.29161445058855934,0.8315220861592877,21:41:08
15.0,0.28380734197407814,0.9852873960703474,21:41:10
6.0,0.3371429826107132,0.7441260554981391,21:41:12
10.0,0.25458392104525696,0.9856432135201929,21:41:14
15.0,0.2308056737940785,0.9461205079973861,21:41:16
8.571428571428571,0.2691815164222352,0.9846192119583931,21:41:18
15.0,0.27565188779324207,0.7617301227631037,21:41:20
20.0,0.30863741189652727,0.9936464801300725,21:41:22
8.571428571428571,0.3429287016126089,0.7590512942235833,21:41:24
20.0,0.2822117577702495,0.9823192806224902,21:41:26
20.0,0.4252973862320843,0.7993719410509637,21:41:28
20.0,0.36957715227681764,0.7054302999785372,21:41:30
20.0,0.2956822646716545,0.9274607291274382,21:41:32
8.571428571428571,0.26120839776254506,0.9602642371652983,21:41:34
6.0,0.22271156050166216,0.8969026379562587,21:41:36
20.0,0.20093118386565892,0.9901420209368019,21:41:38
6.0,0.3792055887412726,0.810640648359103,21:41:40
20.0,0.32496823922348883,0.7088653942803603,21:41:42
10.0,0.29162429686978003,0.9160761252790587,21:41:44
20.0,0.3045445721272255,0.8400000574279608,21:41:46
30.0,0.249666073981839,0.9674788368784548,21:41:48
6.666666666666667,0.3183239926233552,0.8611411501874691,21:41:50
7.5,0.2322585977640739,0.8238873489196072,21:41:52
